,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
127,yogendra,"[28.078045, 81.5932275]",Banke,sw,,bk-sw-26,,,25,5.0,1.92,2.83,,2021-04-03,,bk-sw-26,Apr
128,yogendra,"[28.0830206, 81.5956341]",Banke,sw,,bk-sw-27,,,40,4.9,0.5,4,,2021-04-03,,bk-sw-27,Apr
129,yogendra,"[28.1060287, 81.5971035]",Banke,sw,,bk-sw-25_1,,,35,4.1,0.5,3.25,,2021-04-03,,bk-sw-25_1,Apr
130,yogendra,"[28.1287337, 81.5893729]",Banke,sw,,bk-sw-17_1,,,15,5.0,1.05,3.8,,2021-04-03,,bk-sw-17_1,Apr
131,yogendra,"[28.1465581, 81.5519536]",Banke,sw,,bk-sw-18_1,,,27,5.0,1.08,3.65,,2021-04-03,,bk-sw-18_1,Apr
132,yogendra,"[28.1317973, 81.6588377]",Banke,sw,,bk-sw-06_1,,,45,5.0,2.26,2.29,,2021-04-04,,bk-sw-06_1,Apr
133,yogendra,"[28.0928489, 81.6478628]",Banke,sw,,bk-sw-07_1,,,15,4.95,0.5,4.3,,2021-04-04,,bk-sw-07_1,Apr
134,yogendra,"[28.0812185, 81.645044]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.55,3.91,,2021-04-04,,bk-sw-24_1,Apr
135,Anita,"[28.0852756, 81.5164958]",Bardiya,dt,,,,,25,15.0,1.0,13.75,bd-dw-01,2021-03-13,,,Mar
136,Anita,"[28.082907, 81.5111801]",Bardiya,dt,,,,,24,14.0,3.8,9.96,bd-dw-04,2021-04-01,,,Apr
137,Anita,"[28.0883862, 81.5027232]",Bardiya,dt,,,,,20,14.0,1.8,12,bd-dw-03,2021-04-01,,,Apr
138,Anita,"[28.1056721, 81.482622]",Bardiya,dt,,,,,10,13.0,1.0,11.9,bd-dw-02,2021-04-01,,,Apr
139,Anita,"[28.2283231, 81.5671834]",Bardiya,sw,,,,,40,8.0,1.7,5.9,,2021-04-02,bd-sw-21,,Apr
140,anita,"[28.2490794, 81.5849847]",Bardiya,sw,,,,,10,7.0,1.0,5.9,,2021-04-02,bd-sw-22,,Apr
141,Anita,"[28.2364874, 81.547728]",Bardiya,sw,,,,,0,4.0,1.7,2.3,,2021-04-02,bd-sw-02,,Apr
142,Anita,"[28.2898387, 81.4420108]",Bardiya,sw,,,,,32,5.0,1.7,2.98,,2021-04-02,bd-sw-04,,Apr
143,Anita,"[28.3512469, 81.4297408]",Bardiya,sw,,,,,40,5.0,1.0,3.6,,2021-04-02,bd-sw-08,,Apr
144,Anita,"[28.3034656, 81.3628923]",Bardiya,sw,,,,,60,5.0,1.2,3.2,,2021-04-02,bd-sw-10,,Apr
145,Anita,"[28.3062642, 81.3597118]",Bardiya,sw,,,,,45,6.0,1.7,3.85,,2021-04-02,bd-sw-07,,Apr
146,Anita,"[28.3061076, 81.3596523]",Bardiya,sw,,,,,75,6.0,2.0,3.25,,2021-04-02,bd-sw-11,,Apr
147,Anita,"[28.1487395, 81.4968819]",Bardiya,sw,,,,,40,6.0,1.0,4.6,,2021-04-04,bd-sw-18,,Apr
148,Anita,"[28.1463687, 81.4791724]",Bardiya,sw,,,,,30,8.0,1.8,5.9,,2021-04-04,bd-sw-19,,Apr
149,Anita,"[28.1656501, 81.5008536]",Bardiya,sw,,,,,0,7.0,1.9,5.1,,2021-04-04,bd-sw-17,,Apr
150,Anita,"[28.1880624, 81.4799019]",Bardiya,sw,,,,,40,6.0,1.2,4.4,,2021-04-04,bd-sw-03,,Apr
151,Anita,"[28.189743, 81.3836249]",Bardiya,sw,,,,,30,6.0,1.0,4.7,,2021-04-04,bd-sw-05,,Apr
152,Anita,"[28.1691931, 81.3378602]",Bardiya,sw,,,,,40,8.0,1.5,6.1,,2021-04-04,bd-sw-06,,Apr
153,Anita,"[28.2473471, 81.3078664]",Bardiya,sw,,,,,50,7.0,1.5,5,,2021-04-04,bd-sw-09,,Apr
154,Anita,"[28.2795566, 81.2628796]",Bardiya,sw,,,,,40,14.0,2.0,11.6,,2021-04-04,bd-sw-12,,Apr
155,Anita,"[28.3287679, 81.2715464]",Bardiya,sw,,,,,10,5.0,1.8,3.1,,2021-04-04,bd-sw-13,,Apr
156,Anita,"[28.0731597, 81.5542048]",Bardiya,sw,,,,,55,4.0,1.0,2.45,,2021-04-06,bd-sw-15,,Apr
157,Anita,"[28.0730776, 81.5542921]",Bardiya,sw,,,,,10,4.0,1.5,2.4,,2021-04-06,bd-sw-14,,Apr
158,Anita,"[28.071498, 81.5555033]",Bardiya,sw,,,,,60,5.0,1.0,3.4,,2021-04-07,bd-sw-16,,Apr
159,yogendra,"[28.0242383, 81.6002699]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.46,5.04,,2021-04-23,,bk-sw-11_1,Apr
160,yogendra,"[28.04937, 81.6616595]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.2,6.44,,2021-04-22,,bk-sw-08_1,Apr
161,yogendra,"[28.0285383, 81.6947455]",Banke,sw,,bk-sw-30,,,55,6.0,1.05,4.4,,2021-04-22,,bk-sw-30,Apr
162,yogendra,"[27.9833849, 81.7132719]",Banke,sw,,bk-sw-10_1,,,70,6.0,2.17,3.13,,2021-04-22,,bk-sw-10_1,Apr
163,yogendra,"[28.0151007, 81.6543121]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.7,2.7,,2021-04-23,,bk-sw-09_1,Apr
164,yogendra,"[28.0020628, 81.6523544]",Banke,sw,,bk-sw-29,,,40,7.0,1.9,4.7,,2021-04-23,,bk-sw-29,Apr
165,yogendra,"[28.050811, 81.5861641]",Banke,sw,,bk-sw-28,,,55,7.0,1.05,5.4,,2021-04-26,,bk-sw-28,Apr
166,yogendra,"[28.0780817, 81.5932166]",Banke,sw,,bk-sw-26,,,25,5.0,1.67,3.08,,2021-04-26,,bk-sw-26,Apr
167,yogendra,"[28.083025, 81.5955229]",Banke,sw,,bk-sw-27,,,40,5.2,0.5,4.3,,2021-04-26,,bk-sw-27,Apr
168,yogendra,"[28.1060556, 81.5971341]",Banke,sw,,bk-sw-25_1,,,35,4.3,0.5,3.45,,2021-04-26,,bk-sw-25_1,Apr
