,Unnamed: 0,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month,S.No.,Well No.,Location,Longitude,Latitude,district
81,165,yogendra,"[28.050811, 81.5861641]",Banke,sw,,bk-sw-28,,,55,7.0,1.05,5.4,,2021-04-26,,bk-sw-28,Apr,28,,Jaogagaun,81.5861794,28.0507443,Banke
82,220,yogendra,"[28.0507597, 81.5861889]",Banke,sw,,bk-sw-28,,,55,7.0,0.85,5.6,,2021-06-02,,bk-sw-28,Jun,28,,Jaogagaun,81.5861794,28.0507443,Banke
83,258,yogendra,"[28.05074, 81.5861809]",Banke,sw,,bk-sw-28,,,55,8.0,1.2,6.25,,2021-06-27,,bk-sw-28,Jun,28,,Jaogagaun,81.5861794,28.0507443,Banke
84,16,yogendra,"[28.1223001, 81.5166134]",Banke,dt,bk-dw-03,,,,42,13.0,1.45,11.13,,2021-04-07,,bk-dw-03,Apr,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
85,45,yogendra,"[28.1223281, 81.5165796]",Banke,dt,bk-dw-03,,,,42,13.0,1.75,10.83,,2021-02-05,,bk-dw-03,Feb,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
86,111,yogendra,"[28.1222988, 81.5166218]",Banke,dt,bk-dw-03,,,,42,13.0,1.55,11.03,,2021-03-02,,bk-dw-03,Mar,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
87,173,yogendra,"[28.1223559, 81.5165505]",Banke,dt,bk-dw-03,,,,42,13.0,1.35,11.23,,2021-04-30,,bk-dw-03,Apr,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
88,223,yogendra,"[28.1224142, 81.5165706]",Banke,dt,bk-dw-03,,,,42,13.0,1.55,11.03,,2021-06-03,,bk-dw-03,Jun,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
89,261,yogendra,"[28.1222587, 81.5165325]",Banke,dt,bk-dw-03,,,,42,15.0,2.9,11.68,,2021-06-27,,bk-dw-03,Jun,3,SP-9,Gaughat,81.5165796,28.1223281,Banke
90,17,yogendra,"[28.0818634, 81.5466079]",Banke,dt,bk-dw-01,,,,37,15.0,3.55,11.08,,2021-04-07,,bk-dw-01,Apr,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
91,46,yogendra,"[28.0818215, 81.5466409]",Banke,dt,bk-dw-01,,,,37,15.0,3.65,10.98,,2021-02-05,,bk-dw-01,Feb,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
92,113,yogendra,"[28.0818033, 81.5465529]",Banke,dt,bk-dw-01,,,,37,13.0,1.65,10.98,,2021-03-02,,bk-dw-01,Mar,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
93,176,yogendra,"[28.0817476, 81.546588]",Banke,dt,bk-dw-01,,,,37,13.0,1.5,11.13,,2021-04-30,,bk-dw-01,Apr,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
94,225,yogendra,"[28.0818001, 81.5465758]",Banke,dt,bk-dw-01,,,,37,13.0,1.87,10.76,,2021-06-03,,bk-dw-01,Jun,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
95,263,yogendra,"[28.0818678, 81.5466472]",Banke,dt,bk-dw-01,,,,37,13.0,1.75,10.88,,2021-06-27,,bk-dw-01,Jun,1,SP-1,K Gaon,81.5466409,28.0818215,Banke
96,18,yogendra,"[28.0960803, 81.5211436]",Banke,dt,bk-dw-02,,,,25,15.0,3.55,11.2,,2021-04-07,,bk-dw-02,Apr,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
97,42,yogendra,"[28.0960436, 81.5211363]",Banke,dt,bk-dw-02,,,,25,13.0,1.8,10.95,,2021-02-05,,bk-dw-02,Feb,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
98,112,yogendra,"[28.0959921, 81.521179]",Banke,dt,bk-dw-02,,,,25,15.0,3.65,11.1,,2021-03-02,,bk-dw-02,Mar,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
99,175,yogendra,"[28.096096, 81.5211544]",Banke,dt,bk-dw-02,,,,25,15.0,3.45,11.3,,2021-04-30,,bk-dw-02,Apr,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
100,224,yogendra,"[28.0960591, 81.5211446]",Banke,dt,bk-dw-02,,,,25,13.0,1.6,11.15,,2021-06-03,,bk-dw-02,Jun,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
101,262,yogendra,"[28.0960614, 81.5211525]",Banke,dt,bk-dw-02,,,,25,15.0,3.05,11.7,,2021-06-27,,bk-dw-02,Jun,2,SP-6,L Gaon,81.5211363,28.0960436,Banke
102,20,Subash,"[28.0804943, 81.6419293]",Banke,sw,,bk-sw-01,1611723819300..amr,Test,20,3.6,1.2,2.2,,2021-01-27,,bk-sw-01,Jan,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
103,38,yogendra,"[28.1960977, 81.7117444]",Banke,sw,,bk-sw-01,,,20,5.0,1.85,2.95,,2021-02-01,,bk-sw-01,Feb,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
104,101,yogendra,"[28.1961034, 81.711776]",Banke,sw,,bk-sw-01,,,20,5.0,1.5,3.3,,2021-02-28,,bk-sw-01,Feb,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
105,123,yogendra,"[28.1960804, 81.7117424]",Banke,sw,,bk-sw-01,,,20,5.0,1.34,3.46,,2021-04-02,,bk-sw-01,Apr,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
106,180,yogendra,"[28.1960893, 81.7117338]",Banke,sw,,bk-sw-01,,,20,5.0,1.14,3.66,,2021-05-04,,bk-sw-01,May,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
107,229,yogendra,"[28.1961552, 81.7119906]",Banke,sw,,bk-sw-01,,,20,5.0,1.6,3.2,,2021-06-05,,bk-sw-01,Jun,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
108,269,yogendra,"[28.1960406, 81.7117094]",Banke,sw,,bk-sw-01,,,20,5.0,2.52,2.28,,2021-06-29,,bk-sw-01,Jun,1,1-045/46(BK)1 ,Rohini Khola,81.6419293,28.0804943,Banke
109,21,yogendra,"[28.0828437, 81.5956795]",Banke,sw,,bk-sw-27,,,40,4.6,0.5,3.7,,2021-01-27,,bk-sw-27,Jan,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
110,106,yogendra,"[28.0830308, 81.5956368]",Banke,sw,,bk-sw-27,,,40,4.8,0.5,3.9,,2021-03-01,,bk-sw-27,Mar,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
111,128,yogendra,"[28.0830206, 81.5956341]",Banke,sw,,bk-sw-27,,,40,4.9,0.5,4.0,,2021-04-03,,bk-sw-27,Apr,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
112,167,yogendra,"[28.083025, 81.5955229]",Banke,sw,,bk-sw-27,,,40,5.2,0.5,4.3,,2021-04-26,,bk-sw-27,Apr,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
113,215,yogendra,"[28.0830268, 81.5956128]",Banke,sw,,bk-sw-27,,,40,5.25,0.5,4.35,,2021-05-31,,bk-sw-27,May,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
114,265,yogendra,"[28.0830233, 81.5956242]",Banke,sw,,bk-sw-27,,,40,4.6,0.5,3.7,,2021-06-28,,bk-sw-27,Jun,27,NISP-INV-STW/11,Ramapurwa,81.5956795,28.0828437,Banke
115,22,yogendra,"[28.1060386, 81.5971551]",Banke,sw,,bk-sw-25_1,,,35,3.75,0.5,2.9,,2021-01-27,,bk-sw-25_1,Jan,25,NISP-INV-STW/8 ,Kajurakurda,81.5971551,28.1060386,Banke
